State/UT,Year,Total Population,Male Population,Female Population,Literate Population,Literacy Rate (%),Male Literacy Rate (%),Female Literacy Rate (%),Working Population,Non-working Population,Headcount Ratio (%),Intensity (%),MPI,gsdp_rs_crore,gsdp_growth_pct,gsdp_growth_3yr_avg,gsdp_rank_in_year,policy_period_gsdp,per_capita_income_rs,pci_growth_pct,pci_growth_3yr_avg,pci_rank_in_year,policy_period_pci,unemployment_rate_pct,unemployment_change_pp,unemployment_rank_in_year,unemployment_category,COVID Deaths,HDI,Life Expectancy,Infant Mortality Rate
Andaman and Nicobar Islands,1990,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5590,4.7994,8.117602,8,Pre-Liberalization,,,,,0,0.702,0,0
Andaman and Nicobar Islands,1991,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5937,6.207513,8.646347,10,"Post-Liberalization, Pre-GST",,,,,0,0.706,0,0
Andaman and Nicobar Islands,1992,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6277,5.726798,5.577904,13,"Post-Liberalization, Pre-GST",,,,,0,0.713,0,0
Andaman and Nicobar Islands,1993,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,15192,,5.967156,4,"Post-Liberalization, Pre-GST",,,,,0,0.707,0,0
Andaman and Nicobar Islands,1994,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,17688,16.4297,11.07825,4,"Post-Liberalization, Pre-GST",,,,,0,0.702,0,0
Andaman and Nicobar Islands,1995,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,18604,5.178652,10.80418,4,"Post-Liberalization, Pre-GST",,,,,0,0.699,0,0
Andaman and Nicobar Islands,1996,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,21017,12.97033,11.52623,4,"Post-Liberalization, Pre-GST",,,,,0,0.698,0,0
Andaman and Nicobar Islands,1997,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,22855,8.745301,8.964761,5,"Post-Liberalization, Pre-GST",,,,,0,0.695,0,0
Andaman and Nicobar Islands,1998,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,20504,-10.2866,3.80968,6,"Post-Liberalization, Pre-GST",,,,,0,0.694,0,0
Andaman and Nicobar Islands,1999,0,0,0,0,0,0,0,0,0,0,0,0,938.57,,,31,Pre-GST,24005,,-0.77064,6,"Post-Liberalization, Pre-GST",,,,,0,0.695,0,0
Andaman and Nicobar Islands,2000,0,0,0,0,0,0,0,0,0,0,0,0,988.75,5.346431,,32,Pre-GST,25047,4.340762,-2.97291,7,"Post-Liberalization, Pre-GST",,,,,0,0.697,0,0
Andaman and Nicobar Islands,2001,0,0,0,0,0,0,0,0,0,0,0,0,1081.69,9.399747,7.373089,32,Pre-GST,26910,7.438017,5.889389,7,"Post-Liberalization, Pre-GST",,,,,0,0.705,0,0
Andaman and Nicobar Islands,2002,0,0,0,0,0,0,0,0,0,0,0,0,1227.74,13.50202,9.416066,32,Pre-GST,29830,10.85098,7.543255,6,"Post-Liberalization, Pre-GST",,,,,0,0.706,0,0
Andaman and Nicobar Islands,2003,0,0,0,0,0,0,0,0,0,0,0,0,1392.37,13.40919,12.10365,32,Pre-GST,32670,9.520617,9.269873,6,"Post-Liberalization, Pre-GST",,,,,0,0.718,0,0
Andaman and Nicobar Islands,2004,0,0,0,0,0,0,0,0,0,0,0,0,1813,,13.45561,32,Pre-GST,40921,,10.1858,5,"Post-Liberalization, Pre-GST",,,,,0,0.724,0,19
Andaman and Nicobar Islands,2005,0,0,0,0,0,0,0,0,0,0,0,0,2044,12.74131,13.07525,32,Pre-GST,44754,9.366829,9.443723,5,"Post-Liberalization, Pre-GST",,,,,0,0.73,0,27
Andaman and Nicobar Islands,2006,0,0,0,0,0,0,0,0,0,0,0,0,2538,24.1683,18.45481,32,Pre-GST,53778,20.16356,14.76519,5,"Post-Liberalization, Pre-GST",,,,,0,0.737,0,31
Andaman and Nicobar Islands,2007,0,0,0,0,0,0,0,0,0,0,0,0,2990,17.8093,18.23964,32,Pre-GST,61430,14.22887,14.58642,5,"Post-Liberalization, Pre-GST",,,,,0,0.732,0,34
Andaman and Nicobar Islands,2008,0,0,0,0,0,0,0,0,0,0,0,0,3480,16.38796,19.45519,32,Pre-GST,69177,12.6111,15.66784,5,"Post-Liberalization, Pre-GST",,,,,0,0.726,0,31
Andaman and Nicobar Islands,2009,0,0,0,0,0,0,0,0,0,0,0,0,4120,18.3908,17.52935,33,Pre-GST,78936,14.10729,13.64909,7,"Post-Liberalization, Pre-GST",,,,,0,0.718,0,27
Andaman and Nicobar Islands,2010,0,0,0,0,0,0,0,0,0,0,0,0,4343,5.412621,13.39713,33,Pre-GST,80558,2.054829,9.591074,8,"Post-Liberalization, Pre-GST",,,,,0,0.716,0,25
Andaman and Nicobar Islands,2011,380581,202871,177710,294281,77.32414,81.02538,73.09887,152535,228046,0,0,0,3978.432,,11.90171,33,Pre-GST,89100.05,,8.08106,13,"Post-Liberalization, Pre-GST",,,,,0,0.719,0,23
Andaman and Nicobar Islands,2012,0,0,0,0,0,0,0,0,0,0,0,0,4421.179,11.12868,8.270651,33,Pre-GST,98777.31,10.86112,6.457975,15,"Post-Liberalization, Pre-GST",,,,,0,0.712,0,24
Andaman and Nicobar Islands,2013,0,0,0,0,0,0,0,0,0,0,0,0,5022.625,13.60376,12.36622,33,Pre-GST,111087.4,12.46251,11.66182,15,"Post-Liberalization, Pre-GST",,,,,0,0.715,0,24
Andaman and Nicobar Islands,2014,0,0,0,0,0,0,0,0,0,0,0,0,5477.217,9.050876,11.26111,33,Pre-GST,126344.4,13.73418,12.35261,13,"Post-Liberalization, Pre-GST",,,,,0,0.723,0,22
Andaman and Nicobar Islands,2015,0,0,0,0,0,0,0,0,0,4.29%,40.50%,0.017,6031.735,10.12408,10.92624,33,Pre-GST,137063.8,8.484241,11.56031,14,"Post-Liberalization, Pre-GST",,,,,0,0.728,0,20
Andaman and Nicobar Islands,2016,0,0,0,0,0,0,0,0,0,0,0,0,6835.869,13.33172,10.83556,33,Pre-GST,153904.3,12.28665,11.50169,14,"Post-Liberalization, Pre-GST",,,,,0,0.737,0,16
Andaman and Nicobar Islands,2017,0,0,0,0,0,0,0,0,0,0,0,0,7890.411,15.42659,12.9608,33,"GST Era, Pre-COVID",178708.9,16.11688,12.29592,11,"GST Era, Pre-COVID",,,,,0,0.732,0,14
Andaman and Nicobar Islands,2018,0,0,0,0,0,0,0,0,0,0,0,0,9003.182,14.10283,14.28705,33,"GST Era, Pre-COVID",204254.3,14.29446,14.23266,9,"GST Era, Pre-COVID",,,,,0,0.721,0,9
Andaman and Nicobar Islands,2019,0,0,0,0,0,0,0,0,0,2.30%,40.62%,0.009,9765.004,8.461699,12.66371,33,"GST Era, Pre-COVID",219653.5,7.539187,12.65018,8,"GST Era, Pre-COVID",12.6,,3,High Unemployment,0,0.713,0,7
Andaman and Nicobar Islands,2020,0,0,0,0,0,0,0,0,0,0,0,0,9310.4,-4.65544,5.969696,33,COVID Era,205368.2,-6.50352,5.110041,11,COVID Era,9.1,-3.5,5,High Unemployment,0,0.714,0,7
Andaman and Nicobar Islands,2021,0,0,0,0,0,0,0,0,0,0,0,0,10370.52,11.3864,5.064217,33,COVID Era,229570,11.78456,4.273407,12,COVID Era,7.8,-1.3,7,High Unemployment,0,0.708,0,7
Andaman and Nicobar Islands,2022,0,0,0,0,0,0,0,0,0,0,0,0,,,3.365476,,Post-COVID Recovery,263983.9,14.9906,6.757213,10,Post-COVID Recovery,9.7,1.9,2,High Unemployment,129,0.739,0,8
Andaman and Nicobar Islands,2023,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Post-COVID Recovery,275647.9,4.418441,10.39787,12,Post-COVID Recovery,11.8,2.1,2,High Unemployment,0,0.749,0,9
Andaman and Nicobar Islands,2024,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,288584.2,4.693066,8.034037,12,Post-COVID Recovery,,,,,0,0,0,0
Andaman and Nicobar Islands,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andaman and Nicobar Islands,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1990,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,4531,16.20928,17.80481,16,Pre-Liberalization,,,,,0,0.439,62.4,0
Andhra Pradesh,1991,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5393,19.0245,15.80098,16,"Post-Liberalization, Pre-GST",,,,,0,0.442,62.4,0
Andhra Pradesh,1992,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5748,6.582607,13.9388,16,"Post-Liberalization, Pre-GST",,,,,0,0.446,62.4,0
Andhra Pradesh,1993,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,7416,,12.80355,18,"Post-Liberalization, Pre-GST",,,,,0,0.449,62.4,0
Andhra Pradesh,1994,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8732,17.74542,12.16401,18,"Post-Liberalization, Pre-GST",,,,,0,0.453,62.4,0
Andhra Pradesh,1995,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,9999,14.50985,16.12763,18,"Post-Liberalization, Pre-GST",,,,,0,0.457,62.4,0
Andhra Pradesh,1996,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11202,12.0312,14.76216,17,"Post-Liberalization, Pre-GST",,,,,0,0.461,62.6,0
Andhra Pradesh,1997,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,11650,3.999286,10.18011,18,"Post-Liberalization, Pre-GST",,,,,0,0.465,62.5,0
Andhra Pradesh,1998,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,13965,19.87124,11.96724,15,"Post-Liberalization, Pre-GST",,,,,0,0.469,62.7,0
Andhra Pradesh,1999,0,0,0,0,0,0,0,0,0,0,0,0,128797.1,,,5,Pre-GST,15427,,11.93527,16,"Post-Liberalization, Pre-GST",,,,,0,0.475,63,0
Andhra Pradesh,2000,0,0,0,0,0,0,0,0,0,0,0,0,144723,12.36511,,4,Pre-GST,17195,11.46043,15.66584,15,"Post-Liberalization, Pre-GST",,,,,0,0.482,63.4,0
