Year,National Average,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
1994,45.3,22.2,39.3,40.9,55.0,,14.9,24.2,25.05,28.4,,33.2,25.4,42.5,36.9,33.8,37.9,25.7,37.9,48.6,11.8,27.4,41.4,35.0,22.2,39.5,40.9,,35.7
1995,44.56,22.9,38.55,40.31,54.95,,15.82,24.89,24.96,27.9,,33.22,24.88,43.05,37.01,32.3,35.92,24.51,35.27,49.38,12.63,28.04,40.46,34.45,22.9,39.55,40.9,,35.57
1996,43.83,23.6,37.81,39.72,54.89,,16.74,25.58,24.88,27.4,,33.24,24.36,43.61,37.12,30.8,33.94,23.32,32.65,50.16,13.45,28.67,39.53,33.89,23.6,39.59,40.9,,35.45
1997,43.09,24.3,37.06,39.13,54.84,,17.65,26.27,24.79,26.9,,33.25,23.85,44.16,37.23,29.3,31.95,22.13,30.02,50.95,14.28,29.31,38.59,33.34,24.3,39.64,40.9,,35.32
1998,42.35,25.0,36.32,38.54,54.78,,18.57,26.96,24.7,26.4,,33.27,23.33,44.72,37.34,27.8,29.97,20.94,27.39,51.73,15.11,29.95,37.65,32.78,25.0,39.68,40.9,,35.19
1999,41.62,25.7,35.57,37.95,54.73,,19.49,27.65,24.62,25.9,,33.29,22.81,45.27,37.45,26.3,27.99,19.75,24.76,52.51,15.94,30.58,36.72,32.23,25.7,39.73,40.9,,35.06
2000,40.88,26.4,34.83,37.35,54.67,,20.41,28.35,24.53,25.4,,33.31,22.29,45.83,37.55,24.8,26.01,18.55,22.14,53.29,16.76,31.22,35.78,31.67,26.4,39.77,40.9,,34.94
2001,40.15,27.1,34.08,36.76,54.62,,21.33,29.04,24.45,24.9,,33.33,21.77,46.38,37.66,23.3,24.03,17.36,19.51,54.07,17.59,31.85,34.85,31.12,27.1,39.82,40.9,,34.81
2002,39.41,27.8,33.34,36.17,54.56,,22.25,29.73,24.36,24.4,,33.35,21.25,46.94,37.77,21.8,22.05,16.17,16.88,54.85,18.42,32.49,33.91,30.56,27.8,39.86,40.9,,34.68
2003,38.67,28.5,32.59,35.58,54.51,,23.16,30.42,24.27,23.9,,33.36,20.74,47.49,37.88,20.3,20.06,14.98,14.25,55.64,19.25,33.13,32.97,30.01,28.5,39.91,40.9,,34.55
2004,37.94,29.2,31.85,34.99,54.45,,24.08,31.11,24.19,23.4,,33.38,20.22,48.05,37.99,18.8,18.08,13.79,11.63,56.42,20.07,33.76,32.04,29.45,29.2,39.95,40.9,,34.43
2005,37.2,29.9,31.1,34.4,54.4,49.4,25.0,31.8,24.1,22.9,45.3,33.4,19.7,48.6,38.1,17.3,16.1,12.6,9.0,57.2,20.9,34.4,31.1,28.9,29.9,40.0,40.9,32.7,34.3
2006,35.72,28.14,30.06,35.1,54.22,49.26,21.74,30.04,23.3,20.22,44.06,31.44,18.16,46.22,35.38,23.26,16.3,14.3,11.38,53.16,19.9,32.48,27.5,26.54,28.14,35.48,40.26,29.76,32.78
2007,34.24,26.38,29.02,35.8,54.04,49.12,18.48,28.28,22.5,17.54,42.82,29.48,16.62,43.84,32.66,29.22,16.5,16.0,13.76,49.12,18.9,30.56,23.9,24.18,26.38,30.96,39.62,26.82,31.26
