State,Year,WPR (%),UR (%)
Andhra Pradesh,1993,51.5,1.4
Andhra Pradesh,1994,51.38,1.42
Andhra Pradesh,1995,51.26,1.44
Andhra Pradesh,1996,51.15,1.45
Andhra Pradesh,1997,51.03,1.47
Andhra Pradesh,1998,50.91,1.49
Andhra Pradesh,1999,50.79,1.51
Andhra Pradesh,2000,50.67,1.53
Andhra Pradesh,2001,50.55,1.55
Andhra Pradesh,2002,50.44,1.56
Andhra Pradesh,2003,50.32,1.58
Andhra Pradesh,2004,50.2,1.6
Andhra Pradesh,2005,50.01,1.69
Andhra Pradesh,2006,49.83,1.77
Andhra Pradesh,2007,49.64,1.86
Andhra Pradesh,2008,49.46,1.94
Andhra Pradesh,2009,49.27,2.03
Andhra Pradesh,2010,49.09,2.11
Andhra Pradesh,2011,48.9,2.2
Andhra Pradesh,2012,49.35,2.37
Andhra Pradesh,2013,49.79,2.55
Andhra Pradesh,2014,50.24,2.72
Andhra Pradesh,2015,50.68,2.89
Andhra Pradesh,2016,51.13,3.06
Andhra Pradesh,2017,51.57,3.24
Andhra Pradesh,2018,52.02,3.41
Andhra Pradesh,2019,52.46,3.58
Andhra Pradesh,2020,52.91,3.75
Andhra Pradesh,2021,53.35,3.93
Andhra Pradesh,2022,53.8,4.1
Andhra Pradesh,2023,53.8,4.1
Arunachal Pradesh,1993,41.6,1.2
Arunachal Pradesh,1994,41.32,1.31
Arunachal Pradesh,1995,41.04,1.42
Arunachal Pradesh,1996,40.75,1.53
Arunachal Pradesh,1997,40.47,1.64
Arunachal Pradesh,1998,40.19,1.75
Arunachal Pradesh,1999,39.91,1.85
Arunachal Pradesh,2000,39.63,1.96
Arunachal Pradesh,2001,39.35,2.07
Arunachal Pradesh,2002,39.06,2.18
Arunachal Pradesh,2003,38.78,2.29
Arunachal Pradesh,2004,38.5,2.4
Arunachal Pradesh,2005,38.46,2.36
Arunachal Pradesh,2006,38.41,2.31
Arunachal Pradesh,2007,38.37,2.27
Arunachal Pradesh,2008,38.33,2.23
Arunachal Pradesh,2009,38.29,2.19
Arunachal Pradesh,2010,38.24,2.14
Arunachal Pradesh,2011,38.2,2.1
Arunachal Pradesh,2012,38.65,2.35
Arunachal Pradesh,2013,39.09,2.59
Arunachal Pradesh,2014,39.54,2.84
Arunachal Pradesh,2015,39.98,3.08
Arunachal Pradesh,2016,40.43,3.33
Arunachal Pradesh,2017,40.87,3.57
Arunachal Pradesh,2018,41.32,3.82
Arunachal Pradesh,2019,41.76,4.06
Arunachal Pradesh,2020,42.21,4.31
Arunachal Pradesh,2021,42.65,4.55
Arunachal Pradesh,2022,43.1,4.8
Arunachal Pradesh,2023,43.1,4.8
Assam,1993,36.1,5.6
Assam,1994,36.05,5.57
Assam,1995,35.99,5.55
Assam,1996,35.94,5.52
Assam,1997,35.88,5.49
Assam,1998,35.83,5.46
Assam,1999,35.77,5.44
Assam,2000,35.72,5.41
Assam,2001,35.66,5.38
Assam,2002,35.61,5.35
Assam,2003,35.55,5.33
Assam,2004,35.5,5.3
Assam,2005,35.4,5.19
Assam,2006,35.3,5.07
Assam,2007,35.2,4.96
Assam,2008,35.1,4.84
Assam,2009,35.0,4.73
Assam,2010,34.9,4.61
Assam,2011,34.8,4.5
Assam,2012,35.72,4.25
Assam,2013,36.64,3.99
Assam,2014,37.55,3.74
Assam,2015,38.47,3.48
Assam,2016,39.39,3.23
Assam,2017,40.31,2.97
Assam,2018,41.23,2.72
Assam,2019,42.15,2.46
Assam,2020,43.06,2.21
Assam,2021,43.98,1.95
Assam,2022,44.9,1.7
Assam,2023,44.9,1.7
Bihar,1993,33.1,1.4
Bihar,1994,32.92,1.41
Bihar,1995,32.74,1.42
Bihar,1996,32.55,1.43
Bihar,1997,32.37,1.44
Bihar,1998,32.19,1.45
Bihar,1999,32.01,1.45
Bihar,2000,31.83,1.46
Bihar,2001,31.65,1.47
Bihar,2002,31.46,1.48
Bihar,2003,31.28,1.49
Bihar,2004,31.1,1.5
Bihar,2005,30.67,1.74
Bihar,2006,30.24,1.99
Bihar,2007,29.81,2.23
Bihar,2008,29.39,2.47
Bihar,2009,28.96,2.71
Bihar,2010,28.53,2.96
Bihar,2011,28.1,3.2
Bihar,2012,29.32,3.26
Bihar,2013,30.54,3.33
Bihar,2014,31.75,3.39
Bihar,2015,32.97,3.45
Bihar,2016,34.19,3.52
Bihar,2017,35.41,3.58
Bihar,2018,36.63,3.65
Bihar,2019,37.85,3.71
Bihar,2020,39.06,3.77
Bihar,2021,40.28,3.84
Bihar,2022,41.5,3.9
Bihar,2023,41.5,3.9
Chhattisgarh,2004,49.8,1.1
